Species,Country,Kingdom,Phylum,System,Native_Regions
Psittacara mitratus,United_states,Animalia,Chordata,Terrestrial,"Argentina, Bolivia (Plurinational State of), Ecuador, Peru, United States of America"
Psittacula alexandri,"India, Singapore",Animalia,Chordata,Terrestrial,"China, India, Indonesia, Lao People’s Democratic Republic, Myanmar, Nepal, Singapore, Thailand, Viet Nam, unknown or invalid"
Psittacula eupatria,"Iran, Turkey",Animalia,Chordata,Terrestrial,"India, Myanmar, Nepal, Pakistan, Sri Lanka, Thailand"
Psittacula krameri,"Afghanistan, Bahrain, Bangladesh, Belgium, Benin, Bhutan, Burkina_faso, Cameroon, Cape_verde, Cayman_islands, Central_african_republic, Chad, China, Cote_d'ivoire, Cuba, Djibouti, Egypt, Eritrea, Ethiopia, France, Gambia, Germany, Ghana, Greece, Guinea, Guinea_bissau, Hong_kong, India, Iran, Iraq, Israel, Italy, Japan, Jordan, Kenya, Lebanon, Liberia, Macao, Maldives, Mali, Mauritania, Mauritius, Myanmar, Nepal, Netherlands, Niger, Nigeria, Oman, Pakistan, Portugal, Puerto_rico, Qatar, Saudi_arabia, Senegal, Sierra_leone, Singapore, Slovenia, Somalia, South_africa, Spain, Sri_lanka, Sudan, Switzerland, Togo, Turkey, Uganda, United_arab_emirates, United_kingdom, United_states, Venezuela, Vietnam, Yemen",Animalia,Chordata,Terrestrial,"Chad, Côte d’Ivoire, Ghana, India, Israel, Mali, Mauritius, Nepal, Nigeria, Pakistan, Spain, Sri Lanka, Sudan, United States of America"
Psoralea pinnata,"Australia, New_zealand, Portugal, South_africa, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"India, South Africa"
Pteris cretica,"Australia, Ireland, New_zealand, Peru, United_states",Plantae,Pteridophyta,Terrestrial,"China, Chinese Taipei, Ethiopia, India, Mexico, Seychelles, South Africa, United States of America"
Pternistis erckelii,United_states,Animalia,Chordata,Terrestrial,"Eritrea, Ethiopia, Somalia, United States of America"
Pterois volitans,"Australia, Bahamas, Barbados, Belize, Bermuda, Bes_islands, Cayman_islands, China, Christmas_island, Colombia, Cook_islands, Costa_rica, Cuba, Dominican_republic, Fiji, French_polynesia, Guam, Haiti, Honduras, Hong_kong, India, Indonesia, Jamaica, Japan, Malaysia, Maldives, Marshall_islands, Mauritius, Mexico, Micronesia, Mozambique, New_calcedonia, New_zealand, Nicaragua, Norfolk_island, North_korea, Northern_mariana_islands, Palau, Panama, Papua_new_guinea, Philippines, Pitcairn, Puerto_rico, Samoa, Seychelles, South_korea, Sri_lanka, Taiwan, Turks_and_caicos_islands, United_states, Vanauatu, Venezuela, Vietnam, Virgin_islands_us",Animalia,Chordata,Marine,"American Samoa, Chinese Taipei, Fiji, Indonesia, Kenya, Marshall Islands, Mauritius, Palau, Philippines, Seychelles, Solomon Islands, Sri Lanka, United States of America, unknown or invalid"
Pterygoplichthys anisitsi,"Argentina, Mexico, United_states",Animalia,Chordata,Freshwater,United States of America
Pterygoplichthys disjunctivus,"Bolivia, Brazil, Indonesia, Japan, Mexico, Philippines, Singapore, Taiwan, Turkey, United_states",Animalia,Chordata,Freshwater,United States of America
Pterygoplichthys multiradiatus,"Argentina, Bangladesh, Guyana, India, Indonesia, Malaysia, Mexico, Puerto_rico, Singapore, Taiwan, United_states, Venezuela, Vietnam",Animalia,Chordata,Freshwater,"Peru, United States of America, Venezuela (Bolivarian Republic of)"
Pterygoplichthys pardalis,"Brazil, Indonesia, Mexico, Peru, Philippines, Puerto_rico, United_states, Vietnam",Animalia,Chordata,Freshwater,"Brazil, Colombia, Paraguay, Spain"
Pterygoplichthys spp.,"Bangladesh, Bolivia, Brazil, Costa_rica, Guatemala, India, Indonesia, Japan, Malaysia, Mexico, Philippines, Puerto_rico, Singapore, Taiwan, Thailand, Turkey, United_states, Vietnam",Animalia,Chordata,Freshwater,
Ptychadena mascareniensis,"Mauritius, Reunion, Seychelles",Animalia,Chordata,Freshwater_terrestrial,"Botswana, Cameroon, Congo, Congo, Democratic Republic of the, Egypt, Ghana, Guinea, Kenya, Liberia, Madagascar, Nigeria, South Africa, Sudan, Tanzania, United Republic of, Togo, Uganda, unknown or invalid"
Pueraria montana var. lobata,"American_samoa, Australia, China, Fiji, French_polynesia, Indonesia, Italy, Japan, Kiribati, Malaysia, Mexico, Micronesia, New_calcedonia, New_zealand, Niue, Norfolk_island, North_korea, Palau, Panama, Papua_new_guinea, Philippines, Russia, Samoa, Seychelles, Solomon_islands, South_korea, Switzerland, Taiwan, Thailand, Tonga, Ukraine, United_states, Vanauatu, Vietnam, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Chinese Taipei, Estonia, India, Indonesia, Japan, Papua New Guinea, Sri Lanka"
Pycnonotus cafer,"Australia, Fiji, French_polynesia, India, Marshall_islands, New_calcedonia, New_zealand, Pakistan, Samoa, Sri_lanka, Tonga, United_states, Vietnam",Animalia,Chordata,Terrestrial,"American Samoa, Bangladesh, Bhutan, China, India, Myanmar, Nepal, Pakistan, Samoa, Sri Lanka, United States of America, unknown or invalid"
Pycnonotus jocosus,"Antarctica, Australia, Bangladesh, Belgium, Bhutan, Cambodia, China, Germany, India, Indonesia, Japan, Laos, Malaysia, Mauritius, Mayotte, Mexico, Myanmar, Nepal, Pakistan, Reunion, Saudi_arabia, Seychelles, Singapore, Spain, Thailand, United_arab_emirates, United_kingdom, United_states, Vietnam, Zimbabwe",Animalia,Chordata,Terrestrial,"Australia, Bangladesh, China, Hong Kong, India, Mauritius, Myanmar, Nepal, Thailand, United States of America, Viet Nam"
Pylodictis olivaris,"Canada, Mexico, United_states",Animalia,Chordata,Terrestrial,"China, United States of America"
Pyrus calleryana,"Australia, China, Japan, North_korea, South_korea, Taiwan, United_states, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Afghanistan, Australia, Canada, China, Chinese Taipei, Japan, United States of America"
Python bivittatus,"Bangladesh, Cambodia, China, India, Indonesia, Laos, Myanmar, Puerto_rico, Thailand, United_states, Vietnam",Animalia,Chordata,Terrestrial,"China, United States of America"
Quadrastichus erythrinae,"American_samoa, China, Fiji, Guam, Hong_kong, India, Japan, Malaysia, Maldives, Mauritius, Micronesia, New_calcedonia, Philippines, Reunion, Samoa, Singapore, South_africa, Taiwan, Thailand, Tonga, United_states, Vanauatu, Vietnam",Animalia,Arthropoda,Terrestrial,
Radix rubiginosa,South_africa,Animalia,Mollusca,Freshwater,
Radumeris tasmaniensis,"Australia, New_zealand, Papua_new_guinea",Animalia,Arthropoda,Terrestrial,
Ramphotyphlops braminus,"American_samoa, Anguilla, Argentina, Aruba, Australia, Bahrain, Benin, Cameroon, Cayman_islands, Central_african_republic, Christmas_island, Comoros, Cote_d'ivoire, Egypt, El_salvador, Equatorial_guinea, Fiji, Gabon, Guatemala, India, Iran, Iraq, Japan, Kenya, Kiribati, Madagascar, Marshall_islands, Mauritania, Mauritius, Mexico, Micronesia, Mozambique, New_calcedonia, New_zealand, Nigeria, Oman, Pakistan, Palau, Papua_new_guinea, Reunion, Saint_barthelemy, Saint_martin, Saudi_arabia, Senegal, Seychelles, Solomon_islands, Somalia, South_africa, Spain, Taiwan, Tanzania, Togo, United_arab_emirates, United_states",Animalia,Chordata,Terrestrial,"Bangladesh, Brunei Darussalam, China, Chinese Taipei, Guam, Guatemala, India, Indonesia, Japan, Kuwait, Madagascar, Malaysia, Mexico, Northern Mariana Islands, Pakistan, Palau, Papua New Guinea, Philippines, Réunion, United States of America, Vanuatu, Viet Nam, Virgin Islands (U.S.)"
Rana aurora,"Canada, United_states",Animalia,Chordata,Freshwater_terrestrial,"Canada, United States of America"
Rana draytonii,United_states,Animalia,Chordata,Freshwater_terrestrial,"Mexico, United States of America"
Rana temporaria,Russia,Animalia,Chordata,Freshwater_terrestrial,"Estonia, France, Netherlands"
Rangia cuneata,"Belgium, Mexico, United_states",Animalia,Mollusca,Marine,United States of America
Rangifer tarandus,"Antarctica, Argentina, Canada, Chile, China, Falkland_islands, Finland, Greenland, Mongolia, Norway, Russia, Svalbard_and_jan_mayen, United_states",Animalia,Chordata,Terrestrial,"Canada, Greenland, United Kingdom of Great Britain and Northern Ireland, United States of America"
Ranoidea aurea,"New_calcedonia, New_zealand, Vanauatu, Wallis_and_futuna",Animalia,Chordata,Freshwater_terrestrial,"Australia, New Zealand"
Ranoidea cyclorhynchus,Australia,Animalia,Chordata,Freshwater_terrestrial,"Australia, New Zealand"
Ranoidea raniformis,New_zealand,Animalia,Chordata,Freshwater_terrestrial,Australia
Ranunculus ficaria,"Albania, Algeria, Austria, Belarus, Bulgaria, Cyprus, Czech_republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Ireland, Israel, Italy, Jordan, Latvia, Lebanon, Libya, Lithuania, Morocco, Norway, Poland, Portugal, Romania, Russia, Spain, Sweden, Switzerland, Syrian_arab_republic, Tunisia, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"France, United Kingdom of Great Britain and Northern Ireland"
Raoiella indica,"Dominica, Dominican_republic, Egypt, Grenada, Guadeloupe, Haiti, India, Iran, Israel, Jamaica, Malaysia, Martinique, Mauritius, Oman, Pakistan, Philippines, Puerto_rico, Reunion, Saint_lucia, Saint_martin, Saudi_arabia, Sri_lanka, Sudan, Thailand, Trinidad_and_tabago, United_arab_emirates, Venezuela, Virgin_islands_us",Animalia,Arthropoda,Terrestrial,
Rapana venosa,"France, Taiwan, United_states, Uruguay",Animalia,Mollusca,Marine,
Rattus exulans,"American_samoa, Australia, Cook_islands, Fiji, French_polynesia, Guam, India, Indonesia, Japan, Kiribati, Malaysia, Marshall_islands, Micronesia, Myanmar, Nauru, New_calcedonia, New_zealand, Niue, Northern_mariana_islands, Palau, Papua_new_guinea, Philippines, Pitcairn, Samoa, Solomon_islands, Taiwan, Tokelau, Tonga, Tuvalu, United_states, United_states_minor_outlying_islands, Vanauatu, Wallis_and_futuna",Animalia,Chordata,Terrestrial,"Indonesia, Papua New Guinea, Philippines, Solomon Islands, United States of America, Vanuatu"
Rattus norvegicus,"American_samoa, Anguilla, Antarctica, Australia, Bahamas, Belgium, Bermuda, Brazil, Canada, Chile, China, Cook_islands, Denmark, Dominica, Dominican_republic, Ecuador, Falkland_islands, Fiji, France, French_polynesia, Guadeloupe, Guam, Isle_of_man, Israel, Jamaica, Japan, Kiribati, Malta, Marshall_islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia, Montserrat, New_calcedonia, New_zealand, Niue, Northern_mariana_islands, Palau, Peru, Portugal, Reunion, Saint_helena, Saint_lucia, Saint_pierre_and_miquelon, Samoa, Sao_tome_and_principe, Seychelles, Switzerland, Tonga, Trinidad_and_tabago, Turks_and_caicos_islands, Tuvalu, United_kingdom, United_states, United_states_minor_outlying_islands, Vanauatu, Virgin_islands_british, Virgin_islands_us, Wallis_and_futuna",Animalia,Chordata,Terrestrial,"Bulgaria, Colombia, Estonia, Israel, Spain, United States of America"
Rattus rattus,"American_samoa, Anguilla, Antarctica, Antigua_and_barbuda, Australia, Bahamas, Barbados, Bermuda, British_indian_ocean_territory, Canada, Cayman_islands, Cook_islands, Dominica, Dominican_republic, Ecuador, Falkland_islands, Fiji, France, French_polynesia, Greece, Guadeloupe, Guam, India, Indonesia, Italy, Jamaica, Kiribati, Malta, Marshall_islands, Martinique, Mauritius, Mayotte, Mexico, Micronesia, Montserrat, Nauru, New_calcedonia, New_zealand, Niue, Northern_mariana_islands, Palau, Papua_new_guinea, Peru, Portugal, Puerto_rico, Reunion, Saint_barthelemy, Saint_helena, Saint_lucia, Saint_martin, Samoa, Sao_tome_and_principe, Seychelles, Solomon_islands, Spain, Tanzania, Tonga, Trinidad_and_tabago, Turks_and_caicos_islands, Tuvalu, United_kingdom, United_states, United_states_minor_outlying_islands, Vanauatu, Virgin_islands_british, Virgin_islands_us, Wallis_and_futuna",Animalia,Chordata,Terrestrial,"Canada, Congo, Democratic Republic of the, Israel, Spain, United States of America"
Rhamnus alaternus,"Albania, Algeria, Australia, Cyprus, France, Greece, Israel, Italy, Libya, Morocco, New_zealand, Portugal, Spain, Tunisia, Turkey, Ukraine",Plantae,Magnoliophyta,Terrestrial,Spain
Rhamnus cathartica,"Albania, Algeria, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Canada, Czech_republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Kuwait, Kyrgystan, Latvia, Lithuania, Moldova, Morocco, Netherlands, Norway, Poland, Romania, Russia, Spain, Sweden, Switzerland, Tajikistan, Turkey, Ukraine, United_states",Plantae,Magnoliophyta,Terrestrial,"Canada, Estonia, Finland, Italy, Portugal, Russian Federation, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Rhinella jimi,Brazil,Animalia,Chordata,Freshwater_terrestrial,
Rhinella marina,"American_samoa, Anguilla, Antigua_and_barbuda, Argentina, Aruba, Australia, Barbados, Belize, Bermuda, Bolivia, Brazil, British_indian_ocean_territory, Colombia, Cook_islands, Costa_rica, Cuba, Dominica, Dominican_republic, Ecuador, Egypt, El_salvador, Fiji, French_guiana, French_polynesia, Grenada, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Japan, Kiribati, Marshall_islands, Martinique, Mauritius, Mexico, Micronesia, Montserrat, Nicaragua, Northern_mariana_islands, Palau, Panama, Papua_new_guinea, Paraguay, Peru, Philippines, Puerto_rico, Saint_kitts_and_nevis, Saint_lucia, Saint_vincent_and_the_grenadines, Solomon_islands, Spain, Suriname, Taiwan, Thailand, Trinidad_and_tabago, Tuvalu, United_states, United_states_minor_outlying_islands, Venezuela, Virgin_islands_british, Virgin_islands_us",Animalia,Chordata,Freshwater_terrestrial,"Colombia, Peru, United States of America"
Rhithropanopeus harrisii,"Bulgaria, Canada, Denmark, France, Germany, Italy, Japan, Lithuania, Mexico, Netherlands, Panama, Poland, Portugal, Romania, United_kingdom, United_states",Animalia,Arthropoda,Brackish,United States of America
Rhizophora mangle,"Angola, Australia, Belize, Benin, Bermuda, Brazil, Colombia, Costa_rica, Cote_d'ivoire, Ecuador, French_polynesia, Gambia, Ghana, Guinea, Guinea_bissau, Guyana, Liberia, Mexico, Micronesia, Nigeria, Panama, Peru, Senegal, Sierra_leone, Suriname, Togo, United_states, Venezuela",Plantae,Magnoliophyta,Terrestrial,"Brazil, Tonga"
Rhododendron ponticum,"Austria, Belgium, Bulgaria, France, Georgia, Ireland, Isle_of_man, Lebanon, Netherlands, New_zealand, Portugal, Russia, Spain, Turkey, United_kingdom",Plantae,Magnoliophyta,Terrestrial,"Australia, Portugal, Türkiye"
Rhodomyrtus tomentosa,"China, French_polynesia, Hong_kong, Indonesia, Japan, Laos, Macao, Malaysia, Philippines, Thailand, United_states, Vietnam",Plantae,Magnoliophyta,Terrestrial,"China, Chinese Taipei, India, Malaysia"
Rhus longipes,Reunion,Plantae,Magnoliophyta,Terrestrial,
Ricinus communis,"Afghanistan, Albania, Algeria, American_samoa, Angola, Anguilla, Argentina, Australia, Bahamas, Benin, Bermuda, Botswana, Brazil, British_indian_ocean_territory, Bulgaria, Cambodia, China, Colombia, Cook_islands, Costa_rica, Cuba, Ecuador, Egypt, El_salvador, Ethiopia, Fiji, French_guiana, French_polynesia, Gibraltar, Greece, Guadeloupe, Guam, Guatemala, Hungary, India, Indonesia, Iran, Israel, Jamaica, Jordan, Kenya, Kiribati, Lesotho, Madagascar, Marshall_islands, Martinique, Mayotte, Mexico, Micronesia, Mongolia, Morocco, Nauru, Nepal, New_calcedonia, New_zealand, Nigeria, Niue, Norfolk_island, Northern_mariana_islands, Pakistan, Palau, Panama, Papua_new_guinea, Paraguay, Peru, Pitcairn, Portugal, Puerto_rico, Reunion, Russia, Saint_barthelemy, Saint_helena, Saint_martin, Samoa, Solomon_islands, South_africa, Sri_lanka, Swaziland, Syrian_arab_republic, Taiwan, Tonga, Turkey, United_states, United_states_minor_outlying_islands, Uruguay, Vanauatu, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Chinese Taipei, Colombia, India, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Robinia pseudoacacia,"Canada, Cyprus, Czech_republic, France, Germany, Gibraltar, Hungary, Italy, Poland, Reunion, Romania, South_korea, Spain, Swaziland, Switzerland, Turkey, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, France, United Kingdom of Great Britain and Northern Ireland, United States of America"
Rosa bracteata,"Australia, Bermuda, China, Japan, Taiwan, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,Chinese Taipei
Rosa multiflora,"China, Japan, United_states",Plantae,Magnoliophyta,Terrestrial,"China, Chinese Taipei, Japan, Korea, Republic of, United States of America"
Rottboellia cochinchinensis,"Angola, Argentina, Australia, Benin, Bolivia, Botswana, Brazil, Burkina_faso, Cameroon, China, Colombia, Costa_rica, Cote_d'ivoire, Cuba, Dominican_republic, Ecuador, Equatorial_guinea, Ethiopia, Fiji, Gambia, Ghana, Guadeloupe, Guatemala, Guinea, Honduras, Hong_kong, India, Indonesia, Jamaica, Japan, Kenya, Laos, Liberia, Madagascar, Malaysia, Martinique, Mauritius, Mexico, Mozambique, Myanmar, Namibia, Nepal, Nigeria, North_korea, Panama, Peru, Philippines, Puerto_rico, Reunion, Saint_barthelemy, Saint_martin, Senegal, Sierra_leone, Solomon_islands, Somalia, South_africa, South_korea, Sri_lanka, Sudan, Swaziland, Taiwan, Tanzania, Thailand, Trinidad_and_tabago, Uganda, United_states, Venezuela, Vietnam, Zambia, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei, Papua New Guinea, Timor-Leste"
Rubus alceifolius,"Mayotte, Reunion, Saint_lucia",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei"
Rubus discolor,"Australia, Austria, Bulgaria, Canada, France, Hungary, Morocco, New_zealand, Portugal, South_africa, Spain, United_states",Plantae,Magnoliophyta,Terrestrial,
Rubus ellipticus,"United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Bhutan, Chinese Taipei, India, Thailand, United States of America"
Rubus moluccanus,"Australia, Fiji, India, Indonesia, Madagascar, Malaysia, Mauritius, Micronesia, New_calcedonia, Philippines, Reunion, Solomon_islands, Sri_lanka, Thailand, United_states, Vanauatu, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Australia, Papua New Guinea, Timor-Leste"
Rubus niveus,"Afghanistan, Australia, Bhutan, Bolivia, China, Costa_rica, Ecuador, El_salvador, Honduras, India, Indonesia, Kenya, Laos, Malaysia, Myanmar, Nepal, Nicaragua, Philippines, Puerto_rico, Sri_lanka, Swaziland, Tanzania, Thailand, United_states, Vietnam, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,Chinese Taipei
Rubus pinnatus,"Australia, Madagascar, Saint_helena, South_africa, Swaziland",Plantae,Magnoliophyta,Terrestrial,
Rubus rosifolius,"Australia, French_polynesia, Guadeloupe, Indonesia, Malaysia, Martinique, Mauritius, Mayotte, New_calcedonia, Papua_new_guinea, Reunion, Saint_helena, Solomon_islands, Swaziland, Thailand, United_states, Vanauatu",Plantae,Magnoliophyta,Terrestrial,"Australia, Brazil, Chinese Taipei, Colombia, Germany, Indonesia, Papua New Guinea, Philippines, Seychelles, Timor-Leste, Vanuatu"
Ruellia brevifolia,Reunion,Plantae,Magnoliophyta,Terrestrial,Brazil
Rumex acetosella,"Antarctica, Australia, Canada, Chile, Falkland_islands, France, Greenland, New_zealand, Reunion, Saint_helena, Saint_pierre_and_miquelon, South_africa, Turkey, United_states",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Austria, Brazil, Canada, Chile, Chinese Taipei, France, Greece, Norway, Portugal, Russian Federation, Spain, Ukraine, United States of America"
Rumex crispus,"Antarctica, Australia, Ecuador, Falkland_islands, Fiji, Iran, Iraq, Ireland, Israel, Italy, Japan, Kazakhstan, Kuwait, Kyrgystan, Latvia, Lebanon, Libya, Lithuania, Mauritius, Mexico, Moldova, Mongolia, Morocco, Myanmar, Netherlands, New_zealand, North_korea, Norway, Pakistan, Papua_new_guinea, Peru, Poland, Portugal, Puerto_rico, Reunion, Romania, Russia, Saint_helena, Saint_pierre_and_miquelon, South_korea, Spain, Sweden, Switzerland, Syrian_arab_republic, Taiwan, Tajikistan, Thailand, Tunisia, Turkey, Ukraine, United_kingdom, United_states, Uzbekistan",Plantae,Magnoliophyta,Terrestrial,"Chinese Taipei, France, Russian Federation, Spain, Timor-Leste"
Rumex obtusifolius,"Albania, Algeria, Australia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Canada, China, Czech_republic, Denmark, Estonia, Falkland_islands, France, Georgia, Germany, Greece, Hungary, Iran, Ireland, Italy, Japan, Latvia, Lithuania, Moldova, Netherlands, New_zealand, Norway, Poland, Portugal, Reunion, Romania, Russia, Saint_helena, Saint_pierre_and_miquelon, Spain, Sweden, Switzerland, Taiwan, Turkey, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Canada, Chinese Taipei, France, Italy, Portugal, Russian Federation, Slovenia, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Rupicapra rupicapra,"Albania, Argentina, Austria, Azerbaijan, Bosnia_and_herzegovnia, Bulgaria, Croatia, Czech_republic, France, Georgia, Germany, Greece, Italy, Macedonia, Montenegro, New_zealand, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, Switzerland, Turkey",Animalia,Chordata,Terrestrial,"Austria, France, Germany, Hungary, Italy, New Zealand, Russian Federation, Switzerland"
Rusa unicolor,"Australia, Bangladesh, Bhutan, Brunei_darussalam, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal, New_zealand, Saint_vincent_and_the_grenadines, South_africa, Sri_lanka, Taiwan, Thailand, United_states, Vietnam",Animalia,Chordata,Terrestrial,"China, Guam, India, Indonesia, Lao People’s Democratic Republic, Myanmar, Philippines, Thailand, United States of America, Viet Nam"
Rutilus rutilus,"Afghanistan, Albania, Andorra, Armenia, Australia, Austria, Azerbaijan, Belarus, Belgium, Bosnia_and_herzegovnia, Bulgaria, China, Croatia, Cyprus, Czech_republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iran, Ireland, Isle_of_man, Italy, Jersey, Kazakhstan, Kuwait, Kyrgystan, Latvia, Liechtenstein, Lithuania, Luxembourg, Macedonia, Madagascar, Moldova, Mongolia, Montenegro, Morocco, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Tajikistan, Turkey, Ukraine, United_kingdom, Uzbekistan",Animalia,Chordata,Freshwater,"Bosnia and Herzegovina, France, North Macedonia, Norway, Russian Federation, Slovenia, Sweden"
Sabella spallanzanii,"Albania, Algeria, Australia, Bosnia_and_herzegovnia, Croatia, Cyprus, Egypt, France, Gambia, Greece, Guinea_bissau, Israel, Italy, Lebanon, Libya, Mauritania, Montenegro, Morocco, New_zealand, Portugal, Senegal, Slovenia, Spain, Syrian_arab_republic, Tunisia, Turkey, Western_sahara",Animalia,Annelida,Marine,Spain
Sacciolepis indica,"French_polynesia, Guadeloupe, New_calcedonia, Reunion",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Chinese Taipei, Fiji, India, Japan, Malaysia, Myanmar, New Caledonia, Papua New Guinea, Philippines, Sri Lanka, Timor-Leste, United States of America"
Sagina procumbens,"Albania, Algeria, Antarctica, Armenia, Australia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Canada, Chile, Czech_republic, Denmark, Estonia, Falkland_islands, Finland, France, Georgia, Germany, Greece, Greenland, Hungary, Iceland, Ireland, Italy, Japan, Latvia, Lithuania, Morocco, Netherlands, New_zealand, Norway, Poland, Portugal, Romania, Russia, Saint_helena, Solomon_islands, South_africa, Spain, Sweden, Switzerland, Tunisia, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Estonia, Falkland Islands (Malvinas), Portugal, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Sagittaria platyphylla,"Australia, Georgia, Mexico, New_zealand, Panama, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, United States of America"
Sagittaria sagittifolia,"Albania, Argentina, Armenia, Australia, Austria, Azerbaijan, Bangladesh, Belarus, Belgium, Bulgaria, China, Croatia, Cuba, Czech_republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Mexico, Moldova, Netherlands, New_zealand, Norway, Poland, Portugal, Romania, Russia, Slovakia, Spain, Sweden, Switzerland, United_kingdom, United_states, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Albania, Finland, Hungary, Portugal, Russian Federation"
Salix babylonica,"Australia, Canada, China, New_zealand, Puerto_rico, Saint_helena, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Spain, United States of America"
Salix cinerea,"Albania, Australia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Czech_republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Kazakhstan, Kuwait, Latvia, Lithuania, Moldova, Netherlands, New_zealand, Norway, Poland, Romania, Russia, Spain, Sweden, Switzerland, Turkey, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Italy, Netherlands, Russian Federation, Slovenia, Sweden, United Kingdom of Great Britain and Northern Ireland"
Salix humboldtiana,"Anguilla, Argentina, Bolivia, Brazil, Chile, Colombia, Costa_rica, Ecuador, El_salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Peru, Puerto_rico, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,"Argentina, Bolivia (Plurinational State of), Brazil, Chile, Colombia, El Salvador, Paraguay, Uruguay"
Salmo salar,"Antarctica, Argentina, Australia, Belgium, Brazil, Canada, Chile, China, Cyprus, Denmark, Estonia, Falkland_islands, Faroe_islands, Finland, France, French_guiana, Germany, Greece, Greenland, Iceland, Ireland, Isle_of_man, Israel, Italy, Latvia, Lithuania, Netherlands, New_zealand, Norway, Poland, Portugal, Russia, Singapore, Slovakia, South_africa, South_korea, Spain, Sweden, Turkey, Ukraine, United_kingdom, United_states",Animalia,Chordata,Marine,France
Salmo trutta,"Afghanistan, Antarctica, Argentina, Armenia, Australia, Belgium, Bhutan, Bolivia, Canada, Chile, Colombia, Cyprus, Czech_republic, Denmark, Ecuador, Estonia, Ethiopia, Falkland_islands, Fiji, Finland, France, Germany, Greece, Iceland, India, Iran, Ireland, Isle_of_man, Italy, Japan, Jordan, Kenya, Latvia, Lesotho, Lithuania, Madagascar, Malawi, Morocco, Nepal, Netherlands, New_zealand, Norway, Pakistan, Panama, Papua_new_guinea, Peru, Poland, Portugal, Puerto_rico, Romania, Russia, Slovakia, South_africa, Spain, Sri_lanka, Swaziland, Sweden, Switzerland, Tanzania, Turkey, United_kingdom, United_states, Zimbabwe",Animalia,Chordata,Freshwater,France
Salsola tragus,"Afghanistan, Albania, Algeria, Armenia, Australia, Austria, Azerbaijan, Belarus, Belgium, Bosnia_and_herzegovnia, Bulgaria, Canada, China, Croatia, Czech_republic, Egypt, Finland, France, Georgia, Germany, Greece, Hungary, India, Iran, Iraq, Israel, Italy, Jordan, Lebanon, Libya, Montenegro, Morocco, Nepal, Netherlands, Pakistan, Poland, Portugal, Romania, Russia, Saudi_arabia, Serbia, Spain, Syrian_arab_republic, Tunisia, Turkey, United_kingdom, United_states, Yemen",Plantae,Magnoliophyta,Terrestrial,"Australia, Canada, Italy, Spain, United States of America"
